protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain B, REV PEPTIDE (Human immunodeficiency virus 1)",1ULL_B,Human immunodeficiency virus 1
"Chain A, Hiv-1 Reverse Transcriptase (Human immunodeficiency virus 1)",1VRU_A,Human immunodeficiency virus 1
"Chain A, Glucosylceramidase (human)",1Y7V_A,Homo sapiens (human)
"Chain A, Autoinducer 2-binding periplasmic protein luxP (Vibrio harveyi)",1ZHH_A,Vibrio harveyi
"Chain B, Autoinducer 2 sensor kinase/phosphatase luxQ (Vibrio harveyi)",1ZHH_B,Vibrio harveyi
"Chain A, Pantoate--beta-alanine ligase (Mycobacterium tuberculosis)",2A88_A,Mycobacterium tuberculosis
"Chain A, Beta-lactamase (Escherichia coli K-12)",2HDS_A,Escherichia coli K-12
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, BCL-2-RELATED PROTEIN A1 (human)",2VM6_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Ferritin light chain (horse)",3F32_A,Equus caballus (horse)
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"RNA polymerase beta subunit (EC 2.7.7.6), partial (Escherichia coli)",AAA24585,Escherichia coli
glucose-6-phosphate dehydrogenase (Leuconostoc mesenteroides),AAA25265,Leuconostoc mesenteroides
Luciferase (common eastern firefly),AAA29795,Photinus pyralis (common eastern firefly)
GTP-binding protein (rab7) (dog),AAA30890,Canis lupus familiaris (dog)
"citrate synthase 2, partial (brewer's yeast)",AAA34498,Saccharomyces cerevisiae (brewer's yeast)
"ras protein, partial (human)",AAA36557,Homo sapiens (human)
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
