protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
acid sphingomyelinase (human),AAA58377,Homo sapiens (human)
glutathione-S-transferase (Schistosoma japonicum),AAB03573,Schistosoma japonicum
Nrf2 (human),AAB32188,Homo sapiens (human)
PAX8 (human),AAB34216,Homo sapiens (human)
"glp-1 receptor, partial (human)",AAB64013,Homo sapiens (human)
"TCRAV4S1, partial (human)",AAB69001,Homo sapiens (human)
aryl hydrocarbon receptor nuclear translocator (human),AAC03365,Homo sapiens (human)
CtBP interacting protein CtIP (human),AAC14371,Homo sapiens (human)
thioredoxin reductase (Norway rat),AAC35244,Rattus norvegicus (Norway rat)
BRCA1 (human),AAC37594,Homo sapiens (human)
RGS12 (human),AAC39835,Homo sapiens (human)
ClpP (Bacillus subtilis),AAC46381,Bacillus subtilis
SUMO-1 (human),AAC50996,Homo sapiens (human)
ADAM10 (human),AAC51766,Homo sapiens (human)
"15-lipoxygenase, partial (human)",AAC52118,Homo sapiens (human)
ORF 73 (Human herpesvirus 8 type M),AAC57158,Human herpesvirus 8 type M
WRN (human),AAC63361,Homo sapiens (human)
"integrase, partial (Human immunodeficiency virus 1)",AAC83551,Human immunodeficiency virus 1
lens epithelium-derived growth factor p75 (human),AAF25870,Homo sapiens (human)
cyclic AMP receptor protein (Vibrio cholerae O1 biovar El Tor str. N16961),AAF95755,Vibrio cholerae O1 biovar El Tor str. N16961
