protid,Protein_Accession,Taxonomy
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE (human)",1DE9_A,Homo sapiens (human)
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHI_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHI_B,Escherichia coli
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHJ_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",1DHJ_B,Escherichia coli
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE (human)",1JY1_A,Homo sapiens (human)
"Chain E, Fibrin beta chain (human)",1N8E_E,Homo sapiens (human)
"Chain A, Breast cancer type 1 susceptibility protein (human)",1OQA_A,Homo sapiens (human)
"Chain A, Genome polyprotein (Human poliovirus 1 Mahoney)",1RA7_A,Human poliovirus 1 Mahoney
"Chain A, DIHYDROFOLATE REDUCTASE (Escherichia coli)",2DRC_A,Escherichia coli
"Chain B, DIHYDROFOLATE REDUCTASE (Escherichia coli)",2DRC_B,Escherichia coli
"Chain A, Beta-lactamase (Escherichia coli K-12)",2HDS_A,Escherichia coli K-12
"Chain A, Putative fructose-1,6-bisphosphate aldolase (Giardia intestinalis)",2ISV_A,Giardia intestinalis
"Chain A, HADH2 protein (human)",2O23_A,Homo sapiens (human)
"Chain B, HADH2 protein (human)",2O23_B,Homo sapiens (human)
"Chain A, Neuropilin-1 (human)",2QQI_A,Homo sapiens (human)
"Chain A, JmjC domain-containing histone demethylation protein 3A (human)",2QQS_A,Homo sapiens (human)
"Chain A, BCL-2-RELATED PROTEIN A1 (human)",2VM6_A,Homo sapiens (human)
"Chain A, 2-oxoglutarate Oxygenase (human)",2W2I_A,Homo sapiens (human)
"Chain A, ATP-DEPENDENT DNA HELICASE Q1 (human)",2WWY_A,Homo sapiens (human)
"Chain A, RNA-directed RNA polymerase NS5 (Dengue virus 2 16681-PDK53)",3EVG_A,Dengue virus 2 16681-PDK53
"Chain A, Ferritin light chain (horse)",3F32_A,Equus caballus (horse)
"Chain A, Cruzipain (Trypanosoma cruzi)",3I06_A,Trypanosoma cruzi
"Chain B, Interleukin-1 receptor-like 1 (human)",4KC3_B,Homo sapiens (human)
Leukotriene C4 synthase (domestic guinea pig),A6XA80,Cavia porcellus (domestic guinea pig)
Luciferase (common eastern firefly),AAA29795,Photinus pyralis (common eastern firefly)
"citrate synthase 2, partial (brewer's yeast)",AAA34498,Saccharomyces cerevisiae (brewer's yeast)
"T cell receptor, partial (human)",AAA51534,Homo sapiens (human)
acid sphingomyelinase (human),AAA58377,Homo sapiens (human)
endonuclease IV (Escherichia coli),AAA60529,Escherichia coli
acetylcholinesterase (human),AAA68151,Homo sapiens (human)
dopamine D1 receptor (human),AAB26273,Homo sapiens (human)
Nrf2 (human),AAB32188,Homo sapiens (human)
PAX8 (human),AAB34216,Homo sapiens (human)
DNA polymerase (Vaccinia virus),AAB59829,Vaccinia virus
"glp-1 receptor, partial (human)",AAB64013,Homo sapiens (human)
"TCRAV4S1, partial (human)",AAB69001,Homo sapiens (human)
aryl hydrocarbon receptor nuclear translocator (human),AAC03365,Homo sapiens (human)
CtBP interacting protein CtIP (human),AAC14371,Homo sapiens (human)
thioredoxin reductase (Norway rat),AAC35244,Rattus norvegicus (Norway rat)
BRCA1 (human),AAC37594,Homo sapiens (human)
RGS12 (human),AAC39835,Homo sapiens (human)
ClpP (Bacillus subtilis),AAC46381,Bacillus subtilis
SUMO-1 (human),AAC50996,Homo sapiens (human)
ADAM10 (human),AAC51766,Homo sapiens (human)
"15-lipoxygenase, partial (human)",AAC52118,Homo sapiens (human)
ORF 73 (Human herpesvirus 8 type M),AAC57158,Human herpesvirus 8 type M
WRN (human),AAC63361,Homo sapiens (human)
"integrase, partial (Human immunodeficiency virus 1)",AAC83551,Human immunodeficiency virus 1
"90-kda heat shock protein beta HSP90 beta, partial (human)",AAD14062,Homo sapiens (human)
thioredoxin peroxidase (Schistosoma mansoni),AAD17299,Schistosoma mansoni
ubiquitin C-terminal hydrolase UCH37 (human),AAD31528,Homo sapiens (human)
pregnane X receptor (Norway rat),AAD47214,Rattus norvegicus (Norway rat)
SUMO-1-specific protease (human),AAF04852,Homo sapiens (human)
lens epithelium-derived growth factor p75 (human),AAF25870,Homo sapiens (human)
phosphopantetheinyl transferase (Bacillus subtilis),AAG24257,Bacillus subtilis
Kcnk3 channel (human),AAG29340,Homo sapiens (human)
hypoxia-inducible factor 1 alpha subunit (human),AAG43026,Homo sapiens (human)
Phosphogluconate dehydrogenase (human),AAH00368,Homo sapiens (human)
"PPP5C protein, partial (human)",AAH00750,Homo sapiens (human)
"Arrestin, beta 1 (human)",AAH03636,Homo sapiens (human)
"Caspase 6, apoptosis-related cysteine peptidase (human)",AAH04460,Homo sapiens (human)
PSMD14 protein (human),AAH09524,Homo sapiens (human)
CDC25B protein (human),AAH09953,Homo sapiens (human)
"Prolyl 4-hydroxylase, beta polypeptide (human)",AAH10859,Homo sapiens (human)
RAR-related orphan receptor gamma (house mouse),AAH14804,Mus musculus (house mouse)
SMAD family member 2 (human),AAH14840,Homo sapiens (human)
"ATAD5 protein, partial (human)",AAH15051,Homo sapiens (human)
Fumarate hydratase (human),AAH17444,Homo sapiens (human)
"USP1 protein, partial (human)",AAH18745,Homo sapiens (human)
