Proteína,Organismo,PubChemID,Status,Fonte
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE",Homo sapiens,1DE9_A,encontrada,NCBI
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE",Homo sapiens,1JY1_A,encontrada,NCBI
"Chain E, Fibrin beta chain",Homo sapiens,1N8E_E,encontrada,NCBI
"Chain A, Breast cancer type 1 susceptibility protein",Homo sapiens,1OQA_A,encontrada,NCBI
"Chain A, Genome polyprotein",Human poliovirus,1RA7_A,encontrada,NCBI
"Chain B, REV PEPTIDE",Human immunodeficiency,1ULL_B,encontrada,NCBI
"Chain A, Hiv-1 Reverse Transcriptase",Human immunodeficiency,1VRU_A,encontrada,NCBI
"Chain A, Glucosylceramidase",Homo sapiens,1Y7V_A,encontrada,NCBI
"Chain A, Autoinducer 2-binding periplasmic protein luxP",Vibrio harveyi,1ZHH_A,encontrada,NCBI
"Chain B, Autoinducer 2 sensor kinase/phosphatase luxQ",Vibrio harveyi,1ZHH_B,encontrada,NCBI
"Chain A, Pantoate--beta-alanine ligase",Mycobacterium tuberculosis,2A88_A,encontrada,NCBI
"Chain A, Beta-lactamase",Escherichia coli,2HDS_A,encontrada,NCBI
"Chain A, Putative fructose-1,6-bisphosphate aldolase",Giardia intestinalis,2ISV_A,encontrada,NCBI
"Chain A, HADH2 protein",Homo sapiens,2O23_A,encontrada,NCBI
"Chain B, HADH2 protein",Homo sapiens,2O23_B,encontrada,NCBI
"Chain A, Neuropilin-1",Homo sapiens,2QQI_A,encontrada,NCBI
"Chain A, JmjC domain-containing histone demethylation protein 3A",Homo sapiens,2QQS_A,encontrada,NCBI
"Chain A, BCL-2-RELATED PROTEIN A1",Homo sapiens,2VM6_A,encontrada,NCBI
"Chain A, 2-oxoglutarate Oxygenase",Homo sapiens,2W2I_A,encontrada,NCBI
"Chain A, ATP-DEPENDENT DNA HELICASE Q1",Homo sapiens,2WWY_A,encontrada,NCBI
"Chain A, RNA-directed RNA polymerase NS5",Dengue virus,3EVG_A,encontrada,NCBI
"Chain A, Ferritin light chain",Equus caballus,3F32_A,encontrada,NCBI
"Chain A, Cruzipain",Trypanosoma cruzi,3I06_A,encontrada,NCBI
"RNA polymerase beta subunit (EC 2.7.7.6), partial",Escherichia coli,AAA24585,encontrada,NCBI
glucose-6-phosphate dehydrogenase,Leuconostoc mesenteroides,AAA25265,encontrada,NCBI
Luciferase,Photinus pyralis,AAA29795,encontrada,NCBI
GTP-binding protein (rab7),Canis lupus,AAA30890,encontrada,NCBI
"citrate synthase 2, partial",Saccharomyces cerevisiae,AAA34498,encontrada,NCBI
"ras protein, partial",Homo sapiens,AAA36557,encontrada,NCBI
"T cell receptor, partial",Homo sapiens,AAA51534,encontrada,NCBI
coagulation factor XI,Homo sapiens,AAA51985,encontrada,NCBI
acid sphingomyelinase,Homo sapiens,AAA58377,encontrada,NCBI
putative potassium channel subunit,Homo sapiens,AAA62473,encontrada,NCBI
Bcl-w,Homo sapiens,AAB09055,encontrada,NCBI
metabotropic glutamate receptor 8,Rattus norvegicus,AAB09537,encontrada,NCBI
"calpain II, partial",Sus scrofa,AAB17381,encontrada,NCBI
"amyloid precursor protein, partial",Homo sapiens,AAB23646,encontrada,NCBI
Nrf2,Homo sapiens,AAB32188,encontrada,NCBI
DNA polymerase,Vaccinia virus,AAB59829,encontrada,NCBI
"glp-1 receptor, partial",Homo sapiens,AAB64013,encontrada,NCBI
"TCRAV4S1, partial",Homo sapiens,AAB69001,encontrada,NCBI
aryl hydrocarbon receptor nuclear translocator,Homo sapiens,AAC03365,encontrada,NCBI
alternatively spliced Trp4,Mus musculus,AAC05178,encontrada,NCBI
Mint1,Rattus norvegicus,AAC05303,encontrada,NCBI
CtBP interacting protein CtIP,Homo sapiens,AAC14371,encontrada,NCBI
thioredoxin reductase,Rattus norvegicus,AAC35244,encontrada,NCBI
BRCA1,Homo sapiens,AAC37594,encontrada,NCBI
RGS12,Homo sapiens,AAC39835,encontrada,NCBI
ClpP,Bacillus subtilis,AAC46381,encontrada,NCBI
dopamine transporter,Homo sapiens,AAC50179,encontrada,NCBI
"RGS7, partial",Homo sapiens,AAC50351,encontrada,NCBI
SUMO-1,Homo sapiens,AAC50996,encontrada,NCBI
ADAM10,Homo sapiens,AAC51766,encontrada,NCBI
"15-lipoxygenase, partial",Homo sapiens,AAC52118,encontrada,NCBI
prothrombin,Homo sapiens,AAC63054,encontrada,NCBI
WRN,Homo sapiens,AAC63361,encontrada,NCBI
"integrase, partial",Human immunodeficiency,AAC83551,encontrada,NCBI
chaperonin-containing TCP-1 beta subunit homolog,Homo sapiens,AAC98906,encontrada,NCBI
"90-kda heat shock protein beta HSP90 beta, partial",Homo sapiens,AAD14062,encontrada,NCBI
thioredoxin peroxidase,Schistosoma mansoni,AAD17299,encontrada,NCBI
ubiquitin C-terminal hydrolase UCH37,Homo sapiens,AAD31528,encontrada,NCBI
SUMO-1-specific protease,Homo sapiens,AAF04852,encontrada,NCBI
"matrix metalloproteinase 1, partial",Homo sapiens,AAF24178,encontrada,NCBI
lens epithelium-derived growth factor p75,Homo sapiens,AAF25870,encontrada,NCBI
metallo beta-lactamase,Pseudomonas aeruginosa,AAF61483,encontrada,NCBI
Mcl-1,Homo sapiens,AAF64255,encontrada,NCBI
