Proteína,Organismo,PubChemID,Status,Fonte
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE",Homo sapiens,1DE9_A,encontrada,NCBI
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE",Homo sapiens,1JY1_A,encontrada,NCBI
"Chain E, Fibrin beta chain",Homo sapiens,1N8E_E,encontrada,NCBI
"Chain A, Breast cancer type 1 susceptibility protein",Homo sapiens,1OQA_A,encontrada,NCBI
"Chain A, Genome polyprotein",Human poliovirus,1RA7_A,encontrada,NCBI
"Chain A, Putative fructose-1,6-bisphosphate aldolase",Giardia intestinalis,2ISV_A,encontrada,NCBI
"Chain A, HADH2 protein",Homo sapiens,2O23_A,encontrada,NCBI
"Chain B, HADH2 protein",Homo sapiens,2O23_B,encontrada,NCBI
"Chain A, Neuropilin-1",Homo sapiens,2QQI_A,encontrada,NCBI
"Chain A, JmjC domain-containing histone demethylation protein 3A",Homo sapiens,2QQS_A,encontrada,NCBI
"Chain A, 2-oxoglutarate Oxygenase",Homo sapiens,2W2I_A,encontrada,NCBI
"Chain A, ATP-DEPENDENT DNA HELICASE Q1",Homo sapiens,2WWY_A,encontrada,NCBI
"Chain A, RNA-directed RNA polymerase NS5",Dengue virus,3EVG_A,encontrada,NCBI
"Chain A, Cruzipain",Trypanosoma cruzi,3I06_A,encontrada,NCBI
"T cell receptor, partial",Homo sapiens,AAA51534,encontrada,NCBI
acid sphingomyelinase,Homo sapiens,AAA58377,encontrada,NCBI
glutathione-S-transferase,Schistosoma japonicum,AAB03573,encontrada,NCBI
Nrf2,Homo sapiens,AAB32188,encontrada,NCBI
PAX8,Homo sapiens,AAB34216,encontrada,NCBI
"glp-1 receptor, partial",Homo sapiens,AAB64013,encontrada,NCBI
"TCRAV4S1, partial",Homo sapiens,AAB69001,encontrada,NCBI
aryl hydrocarbon receptor nuclear translocator,Homo sapiens,AAC03365,encontrada,NCBI
CtBP interacting protein CtIP,Homo sapiens,AAC14371,encontrada,NCBI
thioredoxin reductase,Rattus norvegicus,AAC35244,encontrada,NCBI
BRCA1,Homo sapiens,AAC37594,encontrada,NCBI
RGS12,Homo sapiens,AAC39835,encontrada,NCBI
ClpP,Bacillus subtilis,AAC46381,encontrada,NCBI
SUMO-1,Homo sapiens,AAC50996,encontrada,NCBI
ADAM10,Homo sapiens,AAC51766,encontrada,NCBI
"15-lipoxygenase, partial",Homo sapiens,AAC52118,encontrada,NCBI
ORF 73,Human herpesvirus,AAC57158,encontrada,NCBI
WRN,Homo sapiens,AAC63361,encontrada,NCBI
"integrase, partial",Human immunodeficiency,AAC83551,encontrada,NCBI
lens epithelium-derived growth factor p75,Homo sapiens,AAF25870,encontrada,NCBI
cyclic AMP receptor protein,Vibrio cholerae,AAF95755,encontrada,NCBI
hypothetical protein VC_A0002,Vibrio cholerae,AAF95916,encontrada,NCBI
phosphopantetheinyl transferase,Bacillus subtilis,AAG24257,encontrada,NCBI
Kcnk3 channel,Homo sapiens,AAG29340,encontrada,NCBI
"Arrestin, beta 1",Homo sapiens,AAH03636,encontrada,NCBI
"Caspase 6, apoptosis-related cysteine peptidase",Homo sapiens,AAH04460,encontrada,NCBI
PSMD14 protein,Homo sapiens,AAH09524,encontrada,NCBI
"Prolyl 4-hydroxylase, beta polypeptide",Homo sapiens,AAH10859,encontrada,NCBI
"USP1 protein, partial",Homo sapiens,AAH18745,encontrada,NCBI
"PRMT1 protein, partial",Homo sapiens,AAH19268,encontrada,NCBI
"Cyclin-dependent kinase 5, regulatory subunit 1 (p35)",Homo sapiens,AAH26347,encontrada,NCBI
ERAP1 protein,Homo sapiens,AAH30775,encontrada,NCBI
Methyl-CpG binding domain protein 2,Homo sapiens,AAH32638,encontrada,NCBI
GLS protein,Homo sapiens,AAH38507,encontrada,NCBI
Microphthalmia-associated transcription factor,Homo sapiens,AAH65243,encontrada,NCBI
MSRA protein,Bos taurus,AAI02981,encontrada,NCBI
TDP1 protein,Homo sapiens,AAI07878,encontrada,NCBI
Microtubule-associated protein tau,Homo sapiens,AAI14949,encontrada,NCBI
"Phospholipase C, gamma 1",Homo sapiens,AAI36467,encontrada,NCBI
"Phospholipase C, beta 3 (phosphatidylinositol-specific)",Homo sapiens,AAI42682,encontrada,NCBI
Smad3,Homo sapiens,AAL68976,encontrada,NCBI
"apical membrane antigen 1, AMA1",Plasmodium falciparum,AAN35928,encontrada,NCBI
"aldehyde dehydrogenase 1 family, member A1",Homo sapiens,AAP35567,encontrada,NCBI
PINK1,Homo sapiens,AAQ89316,encontrada,NCBI
corticotropin-releasing hormone receptor 2,Homo sapiens,AAR18078,encontrada,NCBI
"hypothetical protein, conserved",Trypanosoma brucei,AAX80043,encontrada,NCBI
regulator of G-protein signaling 4,Homo sapiens,ABC94591,encontrada,NCBI
cystic fibrosis transmembrane conductance regulator ATP-binding cassette sub-family C member 7,Homo sapiens,ABD72211,encontrada,NCBI
"isocitrate dehydrogenase 1, partial",Homo sapiens,ABD77215,encontrada,NCBI
lactate dehydrogenase,Plasmodium falciparum,ABH03417,encontrada,NCBI
Photinus pyralis luciferase,Shuttle vector,ABM67533,encontrada,NCBI
nonstructural protein 1 (Influenza A virus (A/California/07/2009(H1N1))),Influenza A,ACP44172,encontrada,NCBI
LANA,Human gammaherpesvirus,ADQ57959,encontrada,NCBI
