Proteína,Organismo,PubChemID,Status,Fonte
"Chain A, MAJOR APURINIC/APYRIMIDINIC ENDONUCLEASE",Homo sapiens,1DE9_A,encontrada,NCBI
"Chain A, DIHYDROFOLATE REDUCTASE",Escherichia coli,1DHI_A,encontrada,NCBI
"Chain B, DIHYDROFOLATE REDUCTASE",Escherichia coli,1DHI_B,encontrada,NCBI
"Chain A, DIHYDROFOLATE REDUCTASE",Escherichia coli,1DHJ_A,encontrada,NCBI
"Chain B, DIHYDROFOLATE REDUCTASE",Escherichia coli,1DHJ_B,encontrada,NCBI
"Chain A, TYROSYL-DNA PHOSPHODIESTERASE",Homo sapiens,1JY1_A,encontrada,NCBI
"Chain E, Fibrin beta chain",Homo sapiens,1N8E_E,encontrada,NCBI
"Chain A, Breast cancer type 1 susceptibility protein",Homo sapiens,1OQA_A,encontrada,NCBI
"Chain A, Genome polyprotein",Human poliovirus,1RA7_A,encontrada,NCBI
"Chain A, DIHYDROFOLATE REDUCTASE",Escherichia coli,2DRC_A,encontrada,NCBI
"Chain B, DIHYDROFOLATE REDUCTASE",Escherichia coli,2DRC_B,encontrada,NCBI
"Chain A, Beta-lactamase",Escherichia coli,2HDS_A,encontrada,NCBI
"Chain A, Putative fructose-1,6-bisphosphate aldolase",Giardia intestinalis,2ISV_A,encontrada,NCBI
"Chain A, HADH2 protein",Homo sapiens,2O23_A,encontrada,NCBI
"Chain B, HADH2 protein",Homo sapiens,2O23_B,encontrada,NCBI
"Chain A, Neuropilin-1",Homo sapiens,2QQI_A,encontrada,NCBI
"Chain A, JmjC domain-containing histone demethylation protein 3A",Homo sapiens,2QQS_A,encontrada,NCBI
"Chain A, BCL-2-RELATED PROTEIN A1",Homo sapiens,2VM6_A,encontrada,NCBI
"Chain A, 2-oxoglutarate Oxygenase",Homo sapiens,2W2I_A,encontrada,NCBI
"Chain A, ATP-DEPENDENT DNA HELICASE Q1",Homo sapiens,2WWY_A,encontrada,NCBI
"Chain A, RNA-directed RNA polymerase NS5",Dengue virus,3EVG_A,encontrada,NCBI
"Chain A, Ferritin light chain",Equus caballus,3F32_A,encontrada,NCBI
"Chain A, Cruzipain",Trypanosoma cruzi,3I06_A,encontrada,NCBI
"Chain B, Interleukin-1 receptor-like 1",Homo sapiens,4KC3_B,encontrada,NCBI
Leukotriene C4 synthase,Cavia porcellus,A6XA80,encontrada,NCBI
Luciferase,Photinus pyralis,AAA29795,encontrada,NCBI
"citrate synthase 2, partial",Saccharomyces cerevisiae,AAA34498,encontrada,NCBI
"T cell receptor, partial",Homo sapiens,AAA51534,encontrada,NCBI
acid sphingomyelinase,Homo sapiens,AAA58377,encontrada,NCBI
endonuclease IV,Escherichia coli,AAA60529,encontrada,NCBI
acetylcholinesterase,Homo sapiens,AAA68151,encontrada,NCBI
dopamine D1 receptor,Homo sapiens,AAB26273,encontrada,NCBI
Nrf2,Homo sapiens,AAB32188,encontrada,NCBI
PAX8,Homo sapiens,AAB34216,encontrada,NCBI
DNA polymerase,Vaccinia virus,AAB59829,encontrada,NCBI
"glp-1 receptor, partial",Homo sapiens,AAB64013,encontrada,NCBI
"TCRAV4S1, partial",Homo sapiens,AAB69001,encontrada,NCBI
aryl hydrocarbon receptor nuclear translocator,Homo sapiens,AAC03365,encontrada,NCBI
CtBP interacting protein CtIP,Homo sapiens,AAC14371,encontrada,NCBI
thioredoxin reductase,Rattus norvegicus,AAC35244,encontrada,NCBI
BRCA1,Homo sapiens,AAC37594,encontrada,NCBI
RGS12,Homo sapiens,AAC39835,encontrada,NCBI
ClpP,Bacillus subtilis,AAC46381,encontrada,NCBI
SUMO-1,Homo sapiens,AAC50996,encontrada,NCBI
ADAM10,Homo sapiens,AAC51766,encontrada,NCBI
"15-lipoxygenase, partial",Homo sapiens,AAC52118,encontrada,NCBI
ORF 73,Human herpesvirus,AAC57158,encontrada,NCBI
WRN,Homo sapiens,AAC63361,encontrada,NCBI
"integrase, partial",Human immunodeficiency,AAC83551,encontrada,NCBI
"90-kda heat shock protein beta HSP90 beta, partial",Homo sapiens,AAD14062,encontrada,NCBI
thioredoxin peroxidase,Schistosoma mansoni,AAD17299,encontrada,NCBI
ubiquitin C-terminal hydrolase UCH37,Homo sapiens,AAD31528,encontrada,NCBI
pregnane X receptor,Rattus norvegicus,AAD47214,encontrada,NCBI
SUMO-1-specific protease,Homo sapiens,AAF04852,encontrada,NCBI
lens epithelium-derived growth factor p75,Homo sapiens,AAF25870,encontrada,NCBI
