id_query,id_bruto_hit,id_limpo_hit,id_uniprot_hit,identidade,cobertura_query,tamanho_align,evalue,bitscore,info_hit
XP_001348591.1,XP_001348591.1,XP_001348591.1,,100.0,100,927,0.0,1872.0,"XP_001348591.1 heat shock protein 90, putative [Plasmodium falciparum 3D7]"
AAN35928.1,XP_001348015.1,XP_001348015.1,,100.0,100,622,0.0,1302.0,XP_001348015.1 apical membrane antigen 1 [Plasmodium falciparum 3D7]
CAC24715.1,XP_001348685.1,XP_001348685.1,,64.381,99,977,0.0,1158.0,XP_001348685.1 glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase [Plasmodium falciparum 3D7]
XP_001348533.1,XP_001348533.1,XP_001348533.1,,100.0,100,424,0.0,872.0,"XP_001348533.1 HSP40, subfamily A [Plasmodium falciparum 3D7]"
CAQ08732.1,XP_001352050.1,XP_001352050.1,,65.038,99,655,0.0,844.0,XP_001352050.1 heat shock protein 70 [Plasmodium falciparum 3D7]
XP_001349989.1,XP_001349989.1,XP_001349989.1,,100.0,100,316,0.0,643.0,XP_001349989.1 L-lactate dehydrogenase [Plasmodium falciparum 3D7]
ABH03417.1,XP_001349989.1,XP_001349989.1,,99.367,100,316,0.0,637.0,XP_001349989.1 L-lactate dehydrogenase [Plasmodium falciparum 3D7]
CAG38738.1,XP_001350171.1,XP_001350171.1,,64.179,97,402,0.0,551.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
ABD77215.1,XP_001350171.1,XP_001350171.1,,64.595,99,370,0.0,510.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
NP_002037.2,XP_001348772.1,XP_001348772.1,,64.286,99,336,1.6100000000000002e-160,450.0,XP_001348772.1 glyceraldehyde-3-phosphate dehydrogenase [Plasmodium falciparum 3D7]
AAC35244.2,XP_002808951.1,XP_002808951.1,,45.509,97,501,7.85e-143,422.0,XP_002808951.1 thioredoxin reductase [Plasmodium falciparum 3D7]
gi|578162,XP_001348772.1,XP_001348772.1,,60.843,99,332,2.14e-147,417.0,XP_001348772.1 glyceraldehyde-3-phosphate dehydrogenase [Plasmodium falciparum 3D7]
NP_005680.1,XP_001348629.1,XP_001348629.1,,34.345,72,626,1.14e-114,372.0,XP_001348629.1 multidrug resistance protein 2 [Plasmodium falciparum 3D7]
CAG33322.1,XP_001350280.1,XP_001350280.1,,60.069,99,288,1.6600000000000002e-125,358.0,XP_001350280.1 protein kinase 5 [Plasmodium falciparum 3D7]
NP_002256.2,XP_001349372.1,XP_001349372.1,,30.455,95,857,7.15e-109,353.0,"XP_001349372.1 importin subunit beta, putative [Plasmodium falciparum 3D7]"
NP_004102.1,XP_001351399.1,XP_001351399.1,,44.836,99,397,1.0500000000000001e-116,352.0,XP_001351399.1 flap endonuclease 1 [Plasmodium falciparum 3D7]
sp|P07382.1|DRTS_LEIMA,XP_001351479.1,XP_001351479.1,,53.125,92,288,4.12e-111,341.0,XP_001351479.1 bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum 3D7]
XP_001218773.1,XP_001352096.1,XP_001352096.1,,43.548,95,434,1.9800000000000002e-110,330.0,XP_001352096.1 phosphoglycerate kinase [Plasmodium falciparum 3D7]
NP_035230.1,XP_001352213.1,XP_001352213.1,,50.489,87,307,8.14e-113,330.0,XP_001352213.1 cAMP-dependent protein kinase catalytic subunit [Plasmodium falciparum 3D7]
