pdb|1DE9|A	XP_001351132.1	35.644	60	202	1.15e-25	104	XP_001351132.1 DNA-(apurinic or apyrimidinic site) lyase, putative [Plasmodium falciparum 3D7]
pdb|2O23|A	XP_001352100.1	26.693	93	251	1.64e-23	95.5	XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
pdb|2O23|B	XP_001352100.1	26.693	93	251	1.64e-23	95.5	XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
pdb|2W2I|A	XP_001349427.1	41.975	37	81	1.17e-15	77.0	XP_001349427.1 JmjC domain-containing protein, putative [Plasmodium falciparum 3D7]
pdb|2W2I|A	XP_001349427.1	40.385	37	52	1.44e-06	48.5	XP_001349427.1 JmjC domain-containing protein, putative [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348452.1	36.430	64	409	2.23e-70	245	XP_001348452.1 ADP-dependent DNA helicase RecQ [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001352057.1	34.014	66	441	1.67e-68	234	XP_001352057.1 ATP-dependent DNA helicase Q1 [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001351833.1	30.851	16	94	2.67e-08	55.1	XP_001351833.1 ATP-dependent RNA helicase DDX41, putative [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348829.1	27.778	15	90	1.32e-07	52.4	XP_001348829.1 eukaryotic initiation factor 4A [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348611.2	22.353	53	340	1.54e-07	52.4	XP_001348611.2 ATP-dependent RNA helicase DDX5, putative [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347836.1	40.777	90	206	7.99e-43	148	XP_001347836.1 cysteine proteinase falcipain 2a [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347832.1	39.806	90	206	8.82e-42	145	XP_001347832.1 cysteine proteinase falcipain 2b [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347833.1	37.799	92	209	1.14e-37	135	XP_001347833.1 cysteine proteinase falcipain 3 [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001348727.1	31.718	93	227	4.55e-34	125	XP_001348727.1 cysteine proteinase falcipain 1 [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001351902.1	24.889	88	225	9.68e-13	65.1	XP_001351902.1 serine repeat antigen 9 [Plasmodium falciparum 3D7]
AAB03573.1	XP_001348360.1	23.744	98	219	3.80e-17	75.1	XP_001348360.1 glutathione S-transferase [Plasmodium falciparum 3D7]
AAC35244.2	XP_024329017.1	45.509	97	501	1.67e-143	421	XP_024329017.1 thioredoxin reductase [Plasmodium falciparum 3D7]
AAC35244.2	XP_002808951.1	45.509	97	501	7.85e-143	422	XP_002808951.1 thioredoxin reductase [Plasmodium falciparum 3D7]
AAC35244.2	XP_001348365.1	32.842	86	475	6.25e-68	224	XP_001348365.1 glutathione reductase [Plasmodium falciparum 3D7]
AAC35244.2	XP_024329200.1	32.842	86	475	1.47e-67	224	XP_024329200.1 glutathione reductase [Plasmodium falciparum 3D7]
AAC35244.2	XP_001350716.2	28.039	95	510	4.99e-30	121	XP_001350716.2 dihydrolipoyl dehydrogenase, mitochondrial [Plasmodium falciparum 3D7]
AAC37594.1	XP_001351466.1	43.396	3	53	5.81e-08	56.2	XP_001351466.1 RING zinc finger protein, putative [Plasmodium falciparum 3D7]
AAC37594.1	XP_966256.1	34.483	3	58	5.95e-08	55.8	XP_966256.1 E3 ubiquitin-protein ligase RNF5, putative [Plasmodium falciparum 3D7]
AAC37594.1	XP_001350464.1	28.736	5	87	1.08e-07	55.5	XP_001350464.1 zinc finger protein, putative [Plasmodium falciparum 3D7]
AAC37594.1	XP_001347402.2	42.254	4	71	5.36e-07	53.1	XP_001347402.2 RING zinc finger protein, putative [Plasmodium falciparum 3D7]
AAC46381.1	XP_001351149.1	45.930	87	172	1.99e-48	160	XP_001351149.1 ATP-dependent Clp protease proteolytic subunit [Plasmodium falciparum 3D7]
AAC46381.1	XP_001348522.1	36.066	87	183	4.67e-30	109	XP_001348522.1 ATP-dependent Clp protease proteolytic subunit [Plasmodium falciparum 3D7]
AAC50996.1	XP_001351616.1	46.341	81	82	3.84e-23	84.0	XP_001351616.1 small ubiquitin-related modifier [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	30.556	22	180	4.03e-15	78.2	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	39.877	22	163	5.07e-13	71.6	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	26.519	22	181	2.14e-12	69.3	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	41.538	22	130	1.93e-11	66.2	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	25.556	22	180	4.89e-11	65.1	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
AAC57158.1	XP_001347603.1	39.844	22	128	2.60e-10	62.8	XP_001347603.1 conserved Plasmodium protein, unknown function [Plasmodium falciparum 3D7]
