id_query,id_bruto_hit,id_limpo_hit,id_uniprot_hit,identidade,cobertura_query,tamanho_align,evalue,bitscore,info_hit
XP_001348591.1,XP_001348591.1,XP_001348591.1,,100.0,100,927,0.0,1872.0,"XP_001348591.1 heat shock protein 90, putative [Plasmodium falciparum 3D7]"
AAN35928.1,XP_001348015.1,XP_001348015.1,,100.0,100,622,0.0,1302.0,XP_001348015.1 apical membrane antigen 1 [Plasmodium falciparum 3D7]
sp|P13922.2|DRTS_PLAFK,XP_001351479.1,XP_001351479.1,,99.671,100,608,0.0,1242.0,XP_001351479.1 bifunctional dihydrofolate reductase-thymidylate synthase [Plasmodium falciparum 3D7]
CAC24715.1,XP_001348685.1,XP_001348685.1,,64.381,99,977,0.0,1158.0,XP_001348685.1 glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase [Plasmodium falciparum 3D7]
XP_001349078.1,XP_001349078.1,XP_001349078.1,,100.0,100,528,0.0,1073.0,XP_001349078.1 calcium-dependent protein kinase 4 [Plasmodium falciparum 3D7]
XP_001349680.1,XP_001349680.1,XP_001349680.1,,100.0,100,524,0.0,1060.0,XP_001349680.1 calcium-dependent protein kinase 1 [Plasmodium falciparum 3D7]
XP_001347818.1,XP_001347818.1,XP_001347818.1,,100.0,100,508,0.0,1025.0,XP_001347818.1 mitogen-activated protein kinase 2 [Plasmodium falciparum 3D7]
sp|O97467|O97467_PLAFA,XP_001349558.1,XP_001349558.1,,100.0,100,504,0.0,1014.0,XP_001349558.1 hexose transporter [Plasmodium falciparum 3D7]
NP_005339.3,XP_001348998.1,XP_001348998.1,,64.4,98,750,0.0,947.0,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
XP_001348533.1,XP_001348533.1,XP_001348533.1,,100.0,100,424,0.0,872.0,"XP_001348533.1 HSP40, subfamily A [Plasmodium falciparum 3D7]"
CAQ08732.1,XP_001352050.1,XP_001352050.1,,65.038,99,655,0.0,844.0,XP_001352050.1 heat shock protein 70 [Plasmodium falciparum 3D7]
XP_001349639.1,XP_001349639.1,XP_001349639.1,,100.0,100,343,0.0,684.0,XP_001349639.1 protein kinase 7 [Plasmodium falciparum 3D7]
XP_001349989.1,XP_001349989.1,XP_001349989.1,,100.0,100,316,0.0,643.0,XP_001349989.1 L-lactate dehydrogenase [Plasmodium falciparum 3D7]
ABH03417.1,XP_001349989.1,XP_001349989.1,,99.367,100,316,0.0,637.0,XP_001349989.1 L-lactate dehydrogenase [Plasmodium falciparum 3D7]
AAC98906.1,XP_024328874.1,XP_024328874.1,,57.386,98,528,0.0,616.0,XP_024328874.1 T-complex protein 1 subunit beta [Plasmodium falciparum 3D7]
XP_001350099.1,XP_001350099.1,XP_001350099.1,,100.0,100,305,0.0,615.0,XP_001350099.1 protein kinase 6 [Plasmodium falciparum 3D7]
CAA56931.1,XP_001348998.1,XP_001348998.1,,61.074,93,447,0.0,558.0,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
CAG38738.1,XP_001350171.1,XP_001350171.1,,64.179,97,402,0.0,551.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
NP_001008709.1,XP_001348315.1,XP_001348315.1,,81.613,91,310,0.0,540.0,XP_001348315.1 serine/threonine protein phosphatase PP1 [Plasmodium falciparum 3D7]
ABD77215.1,XP_001350171.1,XP_001350171.1,,64.595,99,370,0.0,510.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
