pdb|1DE9|A	XP_001351132.1	35.644	60	202	1.15e-25	104	XP_001351132.1 DNA-(apurinic or apyrimidinic site) lyase, putative [Plasmodium falciparum 3D7]
pdb|2O23|A	XP_001352100.1	26.693	93	251	1.64e-23	95.5	XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
pdb|2O23|B	XP_001352100.1	26.693	93	251	1.64e-23	95.5	XP_001352100.1 3-oxoacyl-[acyl-carrier-protein] reductase [Plasmodium falciparum 3D7]
pdb|2W2I|A	XP_001349427.1	41.975	37	81	1.17e-15	77.0	XP_001349427.1 JmjC domain-containing protein, putative [Plasmodium falciparum 3D7]
pdb|2W2I|A	XP_001349427.1	40.385	37	52	1.44e-06	48.5	XP_001349427.1 JmjC domain-containing protein, putative [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348452.1	36.430	64	409	2.23e-70	245	XP_001348452.1 ADP-dependent DNA helicase RecQ [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001352057.1	34.014	66	441	1.67e-68	234	XP_001352057.1 ATP-dependent DNA helicase Q1 [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001351833.1	30.851	16	94	2.67e-08	55.1	XP_001351833.1 ATP-dependent RNA helicase DDX41, putative [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348829.1	27.778	15	90	1.32e-07	52.4	XP_001348829.1 eukaryotic initiation factor 4A [Plasmodium falciparum 3D7]
pdb|2WWY|A	XP_001348611.2	22.353	53	340	1.54e-07	52.4	XP_001348611.2 ATP-dependent RNA helicase DDX5, putative [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347836.1	40.777	90	206	7.99e-43	148	XP_001347836.1 cysteine proteinase falcipain 2a [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347832.1	39.806	90	206	8.82e-42	145	XP_001347832.1 cysteine proteinase falcipain 2b [Plasmodium falciparum 3D7]
pdb|3I06|A	XP_001347833.1	37.799	92	209	1.14e-37	135	XP_001347833.1 cysteine proteinase falcipain 3 [Plasmodium falciparum 3D7]
