id_query,id_bruto_hit,id_limpo_hit,id_uniprot_hit,identidade,cobertura_query,tamanho_align,evalue,bitscore,info_hit
XP_001349846.1,XP_001349846.1,XP_001349846.1,,100.0,100,1085,0.0,2228.0,XP_001349846.1 M1-family alanyl aminopeptidase [Plasmodium falciparum 3D7]
XP_001348591.1,XP_001348591.1,XP_001348591.1,,100.0,100,927,0.0,1872.0,"XP_001348591.1 heat shock protein 90, putative [Plasmodium falciparum 3D7]"
AAN35928.1,XP_001348015.1,XP_001348015.1,,100.0,100,622,0.0,1302.0,XP_001348015.1 apical membrane antigen 1 [Plasmodium falciparum 3D7]
XP_001348613.1,XP_001348613.1,XP_001348613.1,,100.0,100,605,0.0,1229.0,XP_001348613.1 M17 leucyl aminopeptidase [Plasmodium falciparum 3D7]
CAD52000.1,XP_001352189.1,XP_001352189.1,,100.0,100,570,0.0,1172.0,XP_001352189.1 M18 aspartyl aminopeptidase [Plasmodium falciparum 3D7]
CAC24715.1,XP_001348685.1,XP_001348685.1,,64.381,99,977,0.0,1158.0,XP_001348685.1 glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase [Plasmodium falciparum 3D7]
AAI21795.1,XP_966179.2,XP_966179.2,,65.58,92,767,0.0,1043.0,"XP_966179.2 cell division cycle protein 48 homologue, putative [Plasmodium falciparum 3D7]"
AAH02453.1,XP_024329068.1,XP_024329068.1,,70.388,99,645,0.0,951.0,XP_024329068.1 heat shock protein 70 [Plasmodium falciparum 3D7]
NP_005339.3,XP_001348998.1,XP_001348998.1,,64.4,98,750,0.0,947.0,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
NP_006588.1,XP_024329068.1,XP_024329068.1,,69.612,99,645,0.0,942.0,XP_024329068.1 heat shock protein 70 [Plasmodium falciparum 3D7]
XP_001348533.1,XP_001348533.1,XP_001348533.1,,100.0,100,424,0.0,872.0,"XP_001348533.1 HSP40, subfamily A [Plasmodium falciparum 3D7]"
CAQ08732.1,XP_001352050.1,XP_001352050.1,,65.038,99,655,0.0,844.0,XP_001352050.1 heat shock protein 70 [Plasmodium falciparum 3D7]
NP_821133.1,XP_001347369.1,XP_001347369.1,,89.767,97,430,0.0,800.0,XP_001347369.1 tubulin beta chain [Plasmodium falciparum 3D7]
AAI08696.1,XP_001348998.1,XP_001348998.1,,65.557,97,601,0.0,773.0,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
NP_694881.1,XP_024329068.1,XP_024329068.1,,76.407,93,462,0.0,744.0,XP_024329068.1 heat shock protein 70 [Plasmodium falciparum 3D7]
CAM24989.1,XP_024329068.1,XP_024329068.1,,65.665,96,466,0.0,645.0,XP_024329068.1 heat shock protein 70 [Plasmodium falciparum 3D7]
AAC98906.1,XP_024328874.1,XP_024328874.1,,57.386,98,528,0.0,616.0,XP_024328874.1 T-complex protein 1 subunit beta [Plasmodium falciparum 3D7]
CAA56931.1,XP_001348998.1,XP_001348998.1,,61.074,93,447,0.0,558.0,XP_001348998.1 heat shock protein 90 [Plasmodium falciparum 3D7]
CAG38738.1,XP_001350171.1,XP_001350171.1,,64.179,97,402,0.0,551.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
NP_001008709.1,XP_001348315.1,XP_001348315.1,,81.613,91,310,0.0,540.0,XP_001348315.1 serine/threonine protein phosphatase PP1 [Plasmodium falciparum 3D7]
ABD77215.1,XP_001350171.1,XP_001350171.1,,64.595,99,370,0.0,510.0,"XP_001350171.1 isocitrate dehydrogenase [NADP], mitochondrial [Plasmodium falciparum 3D7]"
NP_003874.2,XP_001352127.1,XP_001352127.1,,54.612,95,412,6.200000000000001e-166,472.0,XP_001352127.1 histone deacetylase 1 [Plasmodium falciparum 3D7]
AAK85233.1,XP_002808951.1,XP_002808951.1,,46.758,82,509,5.16e-153,452.0,XP_002808951.1 thioredoxin reductase [Plasmodium falciparum 3D7]
NP_002037.2,XP_001348772.1,XP_001348772.1,,64.286,99,336,1.6100000000000002e-160,450.0,XP_001348772.1 glyceraldehyde-3-phosphate dehydrogenase [Plasmodium falciparum 3D7]
